car_brand,model,price,year,location,fuel,km_driven,gear,ownership,monthly_payment
Maruti,SwiftZDI,509899,2014,Mumbai,Diesel,63462,Manual,1,11342
Maruti,Wagon R 1.0VXI,384699,2015,Mumbai,Petrol,68550,Manual,1,8557
Maruti,Wagon R 1.0LXI,309499,2015,Mumbai,Petrol,42052,Manual,1,6885
Hyundai,Elite i20ASTA 1.4 CRDI,574899,2015,Mumbai,Diesel,37423,Manual,1,12788
Maruti,BalenoZETA 1.2 K12,659499,2018,Mumbai,Petrol,23117,Manual,1,14670
Hyundai,EonERA PLUS,266899,2012,Mumbai,Petrol,68845,Manual,1,5937
Hyundai,EonMAGNA PLUS,324699,2016,Mumbai,Petrol,59113,Manual,1,7223
Hyundai,i20ASTA 1.2,289899,2010,Mumbai,Petrol,78845,Manual,2,6449
Hyundai,Santro XingGLS,186499,2008,Mumbai,Petrol,36002,Manual,1,4149
Volkswagen,PoloHIGHLINE1.2L PETROL,457199,2014,Mumbai,Petrol,57175,Manual,1,10170
Hyundai,Elite i20ASTA 1.2,611899,2017,Mumbai,Petrol,19113,Manual,1,13611
Volkswagen,PoloHIGHLINE1.2L PETROL,439699,2014,Mumbai,Petrol,54973,Manual,1,9781
Maruti,SwiftVXI,467599,2014,Mumbai,Petrol,54662,Manual,2,10401
Hyundai,Santro XingGLS,186999,2009,Mumbai,Petrol,47439,Manual,1,4160
Honda,Jazz1.2 V MT,464799,2016,Mumbai,Petrol,49159,Manual,1,10339
Honda,Amaze1.5 SX MT I DTEC,382699,2014,Mumbai,Diesel,54831,Manual,1,8513
Honda,Civic1.8V MT,257699,2009,Mumbai,Petrol,61552,Manual,1,5732
Maruti,SwiftZDI,528899,2014,Mumbai,Diesel,27388,Manual,1,11765
Maruti,BalenoDELTA 1.2 K12,626299,2018,Mumbai,Petrol,4475,Manual,1,13932
Hyundai,Grand i10SPORTZ 1.2 KAPPA VTVT,467599,2016,Mumbai,Petrol,5844,Manual,1,10401
Maruti,Swift DzireVXI,271399,2010,Mumbai,Petrol,91192,Manual,3,6037
Honda,BR-V1.5 i-VTEC VX,654499,2016,Mumbai,Petrol,50299,Manual,1,14559
Maruti,SwiftZDI,574499,2016,Mumbai,Diesel,42484,Manual,1,12779
Hyundai,Elite i201.2 SPORTS PLUS VTVT,717399,2019,Mumbai,Petrol,6803,Manual,1,15958
Maruti,BalenoDELTA 1.2 K12,523699,2016,Mumbai,Petrol,45907,Manual,1,11649
Maruti,BalenoALPHA 1.2 K12,646999,2017,Mumbai,Petrol,35369,Manual,1,14392
Honda,JazzVX  1.2,521699,2016,Mumbai,Petrol,46051,Manual,2,11605
Volkswagen,PoloGT TSI 1.2 PETROL AT,661599,2017,Mumbai,Petrol,71115,Automatic,1,14717
Maruti,RitzVDI,226999,2010,Mumbai,Diesel,82265,Manual,1,5049
Hyundai,i10MAGNA 1.2,188599,2009,Mumbai,Petrol,60172,Manual,3,4195
Hyundai,Grand i10ASTA AT 1.2 KAPPA VTVT,424699,2015,Mumbai,Petrol,71225,Manual,1,9447
Maruti,CiazZETA 1.4 VVT,671999,2018,Mumbai,Petrol,30737,Manual,2,14948
Toyota,Etios LivaG,365000,2014,Mumbai,Petrol,28363,Manual,1,8119
Jeep,Compass2.0 SPORT,1640199,2018,Mumbai,Diesel,13960,Manual,1,36485
Maruti,Wagon RLXI MINOR,187999,2009,Mumbai,Petrol,63745,Manual,2,4182
Jeep,Compass2.0 LONGITUDE,1267599,2017,Mumbai,Diesel,39917,Manual,1,28197
Maruti,Swift DzireVXI OPT,520999,2016,Mumbai,Petrol,44504,Manual,1,11589
Maruti,Wagon R 1.0VXI,350599,2016,Mumbai,Petrol,59272,Manual,2,7799
Maruti,DzireVDI,771899,2018,Mumbai,Diesel,20805,Manual,1,17170
Maruti,Alto K10VXI,292099,2015,Mumbai,Petrol,53317,Manual,1,6498
Maruti,BalenoDELTA 1.2 K12,609499,2019,Mumbai,Petrol,19285,Manual,2,13558
Maruti,BalenoALPHA 1.2 K12,752499,2019,Mumbai,Petrol,4921,Manual,1,16739
Maruti,SwiftVDI,371799,2011,Mumbai,Diesel,80805,Manual,2,8270
Hyundai,,1138099,2019,Mumbai,Petrol,5450,Manual,1,25316
Hyundai,New Elantra1.6 SX AT O,1108199,2017,Mumbai,Diesel,68830,Automatic,1,24651
Maruti,ErtigaVDI SHVS,710399,2016,Mumbai,Diesel,43399,Manual,1,15802
Maruti,BalenoALPHA DDIS 190,774499,2018,Mumbai,Diesel,21859,Manual,1,17228
Hyundai,Creta1.6 E + VTVT,784099,2017,Mumbai,Petrol,26547,Manual,2,17442
Maruti,Eeco7 STR,213199,2010,Mumbai,Petrol,49362,Manual,1,4742
Volkswagen,PoloGT TSI 1.2 PETROL AT,757599,2017,Mumbai,Petrol,26305,Automatic,1,16852
Hyundai,i20SPORTZ 1.2 O,318399,2011,Mumbai,Petrol,93869,Manual,2,7083
Jeep,,1756699,2017,Mumbai,Diesel,9721,Manual,1,39077
Maruti,Alto 800LXI,296099,2015,Mumbai,Petrol,57290,Manual,1,6587
Hyundai,,474899,2018,Mumbai,Petrol,10105,Manual,1,10564
Tata,NEXONXZ 1.2,940499,2020,Mumbai,Petrol,10705,Manual,1,20921
Maruti,Alto 800LXI,278299,2015,Mumbai,Petrol,54832,Manual,2,6191
Hyundai,Grand i10ASTA 1.2 VTVT,460499,2017,Mumbai,Petrol,88747,Manual,1,10244
Mahindra,XUV 3OOW8(O),1032799,2019,Mumbai,Diesel,17468,Manual,1,22974
Maruti,DzireVDI,716499,2017,Mumbai,Diesel,29736,Manual,1,15938
Mahindra,XUV500W8 FWD,767699,2014,Mumbai,Diesel,84226,Manual,1,17077
Maruti,Vitara BrezzaVDI OPT,816500,2018,Mumbai,Diesel,57487,Manual,1,18163
Honda,CityS AT,239899,2009,Mumbai,Petrol,96796,Automatic,3,5336
Maruti,BalenoZETA 1.2 K12,647999,2018,Mumbai,Petrol,33958,Manual,1,14414
Jeep,Compass2.0 LIMITED,1544499,2017,Mumbai,Diesel,25491,Manual,2,34357
Skoda,,702399,2017,Mumbai,Petrol,41413,Manual,1,15624
